,end_lat,end_long,route,start_lat,start_long
370,41.025547,-78.435068,0,41.0264343,-78.4362329
371,41.02552,-78.434959,0,41.025547,-78.435068
372,41.024414,-78.434578,0,41.02552,-78.434959
373,41.024456,-78.431709,0,41.024414,-78.434578
374,41.024409,-78.418532,0,41.024456,-78.431709
375,41.0243352,-78.4175457,0,41.024409,-78.418532
376,40.9980823,-78.3690002,0,41.0243352,-78.4175457
377,40.998264,-78.364182,0,40.9980823,-78.3690002
378,40.995785,-78.347099,0,40.998264,-78.364182
379,40.986324,-78.311333,0,40.995785,-78.347099
380,40.9843676,-78.302204,0,40.986324,-78.311333
381,40.98233,-78.29184,0,40.9843676,-78.302204
382,40.9708471,-78.2366064,0,40.98233,-78.29184
383,40.9566011,-78.1797536,0,40.9708471,-78.2366064
384,40.954647,-78.1716309,0,40.9566011,-78.1797536
385,40.947134,-78.1385239,0,40.954647,-78.1716309
386,40.942552,-78.124856,0,40.947134,-78.1385239
387,40.9148174,-78.0608362,0,40.942552,-78.124856
388,40.9072556,-77.8754611,0,40.9148174,-78.0608362
389,40.9383435,-77.8042527,0,40.9072556,-77.8754611
390,40.9402311,-77.8007781,0,40.9383435,-77.8042527
391,40.9485078,-77.7939177,0,40.9402311,-77.8007781
392,40.9487464,-77.7919228,0,40.9485078,-77.7939177
393,40.9474249,-77.7902269,0,40.9487464,-77.7919228
394,40.9239492,-77.7797633,0,40.9474249,-77.7902269
395,40.9107571,-77.7774157,0,40.9239492,-77.7797633
396,40.9118094,-77.772433,0,40.9107571,-77.7774157
397,40.8903035,-77.745325,0,40.9118094,-77.772433
398,40.8857845,-77.7410658,0,40.8903035,-77.745325
399,40.8650716,-77.7343762,0,40.8857845,-77.7410658
400,40.8367604,-77.6745036,0,40.8650716,-77.7343762
401,40.8352089,-77.6724431,0,40.8367604,-77.6745036
402,40.9141096,-77.0565865,0,40.8352089,-77.6724431
403,40.915657,-77.0567295,0,40.9141096,-77.0565865
404,40.9605044,-76.896403,0,40.915657,-77.0567295
405,40.9604969,-76.8959309,0,40.9605044,-76.896403
406,40.9602501,-76.8958529,0,40.9604969,-76.8959309
407,40.9604507,-76.8922009,0,40.9602501,-76.8958529
408,40.9602856,-76.8921845,0,40.9604507,-76.8922009
409,40.9757043,-76.7377694,0,40.9602856,-76.8921845
410,40.9852677,-76.6972648,0,40.9757043,-76.7377694
411,40.9860566,-76.6321544,0,40.9852677,-76.6972648
412,40.9823343,-76.627978,0,40.9860566,-76.6321544
413,40.9837571,-76.6262665,0,40.9823343,-76.627978
414,40.99804,-76.5949268,0,40.9837571,-76.6262665
415,41.00054,-76.488895,0,40.99804,-76.5949268
416,40.995443,-76.4739428,0,41.00054,-76.488895
417,40.9983443,-76.4719083,0,40.995443,-76.4739428
418,41.0034566,-76.4636618,0,40.9983443,-76.4719083
419,41.002706,-76.4630728,0,41.0034566,-76.4636618
420,41.0015353,-76.4624882,0,41.002706,-76.4630728
421,41.0018699,-76.4613522,0,41.0015353,-76.4624882
422,41.0012567,-76.4608803,0,41.0018699,-76.4613522
423,41.0044369,-76.4537257,0,41.0012567,-76.4608803
424,41.0013021,-76.4479733,0,41.0044369,-76.4537257
425,41.0547686,-76.2336103,0,41.0013021,-76.4479733
426,41.0237727,-76.0790524,0,41.0547686,-76.2336103
427,41.0281507,-76.0060381,0,41.0237727,-76.0790524
428,41.0180769,-75.9946155,0,41.0281507,-76.0060381
429,41.0161812,-75.9054732,0,41.0180769,-75.9946155
430,41.0189058,-75.8808845,0,41.0161812,-75.9054732
431,41.0196225,-75.8796585,0,41.0189058,-75.8808845
432,41.0288756,-75.7918293,0,41.0196225,-75.8796585
433,41.0308147,-75.7777509,0,41.0288756,-75.7918293
434,41.0388348,-75.7593999,0,41.0308147,-75.7777509
435,41.0386706,-75.7589259,0,41.0388348,-75.7593999
436,40.9675099,-75.5119208,0,41.0386706,-75.7589259
437,40.9660768,-75.4678719,0,40.9675099,-75.5119208
438,40.9455248,-75.4421125,0,40.9660768,-75.4678719
439,40.9233697,-75.397558,0,40.9455248,-75.4421125
440,40.922258,-75.3592544,0,40.9233697,-75.397558
441,40.9026265,-75.3364958,0,40.922258,-75.3592544
442,40.8956579,-75.3233369,0,40.9026265,-75.3364958
443,40.8936523,-75.3163813,0,40.8956579,-75.3233369
444,40.8925219,-75.3147636,0,40.8936523,-75.3163813
445,40.8612724,-75.2942674,0,40.8925219,-75.3147636
446,40.8560562,-75.2916475,0,40.8612724,-75.2942674
447,40.848523,-75.2808419,0,40.8560562,-75.2916475
448,40.8456893,-75.2734153,0,40.848523,-75.2808419
449,40.8438614,-75.2495118,0,40.8456893,-75.2734153
450,40.8384962,-75.2458793,0,40.8438614,-75.2495118
451,40.8395038,-75.2196928,0,40.8384962,-75.2458793
452,40.8406187,-75.2138327,0,40.8395038,-75.2196928
453,40.8444722,-75.201864,0,40.8406187,-75.2138327
454,40.844102,-75.2010797,0,40.8444722,-75.201864
455,40.8439909,-75.188788,0,40.844102,-75.2010797
456,40.8405985,-75.1852378,0,40.8439909,-75.188788
457,40.8433228,-75.161574,0,40.8405985,-75.1852378
458,40.842888,-75.160955,0,40.8433228,-75.161574
459,40.8357697,-75.14422,0,40.842888,-75.160955
460,40.8365666,-75.1437573,0,40.8357697,-75.14422
461,40.8372137,-75.1350434,0,40.8365666,-75.1437573
462,40.8421371,-75.1226792,0,40.8372137,-75.1350434
463,40.84827,-75.1169257,0,40.8421371,-75.1226792
464,40.8282319,-75.086156,0,40.84827,-75.1169257
465,40.8288335,-75.0846541,0,40.8282319,-75.086156
466,40.8300761,-75.0760418,0,40.8288335,-75.0846541
467,40.8285524,-75.0757107,0,40.8300761,-75.0760418
468,40.8233132,-75.0624316,0,40.8285524,-75.0757107
469,40.8230846,-75.0573964,0,40.8233132,-75.0624316
470,40.8322265,-74.999144,0,40.8230846,-75.0573964
471,40.8515157,-74.9335957,0,40.8322265,-74.999144
472,40.8510868,-74.934278,0,40.8515157,-74.9335957
